L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n, T
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 1.000000e-13, 1.000000e-13, 4.471393e-04, 4.471393e-04, 0.000000e+00, 0.000000e+00, 9.990883e-13, 3.562285e-01, 6.467358e-02, 3.290859e-11, 2.999792e-12, 2.225789e-09, 5.910560e-17, 1.079581e-17, 2.882284e-17, 1.948695e-17, 1.102412e-19, 2.991534e-17, 9.421166e-18, 2.412023e-17, 4.492761e-04, 4.492789e+08, 4.492789e+08, 1.080567e-05, 2.884914e-05, 1.103418e-07, 9.429763e-06, 3.293862e+01, 1.427130e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 1.000000e-13, 1.000000e-13, 8.848310e-04, 8.848310e-04, 0.000000e+00, 0.000000e+00, 1.998214e-12, 3.562276e-01, 6.467365e-02, 6.581574e-11, 5.998389e-12, 2.241035e-09, 5.907657e-17, 1.113797e-17, 2.845727e-17, 1.948133e-17, 1.078860e-19, 2.950820e-17, 9.041401e-18, 2.400339e-17, 8.924474e-04, 4.462225e+08, 4.462225e+08, 5.573962e-06, 1.424136e-05, 5.399120e-08, 4.524742e-06, 3.293729e+01, 2.854313e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 1.000000e-13, 1.000000e-13, 1.313543e-03, 1.313543e-03, 0.000000e+00, 0.000000e+00, 2.997420e-12, 3.562266e-01, 6.467371e-02, 9.872294e-11, 8.995963e-12, 2.255976e-09, 5.904887e-17, 1.145630e-17, 2.811682e-17, 1.947575e-17, 1.056511e-19, 2.912902e-17, 8.688182e-18, 2.389526e-17, 1.329837e-03, 4.432672e+08, 4.432672e+08, 3.822055e-06, 9.380340e-06, 3.524736e-08, 2.898554e-06, 3.293598e+01, 4.281611e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 1.000000e-13, 1.000000e-13, 1.733719e-03, 1.733719e-03, 0.000000e+00, 0.000000e+00, 3.996776e-12, 3.562257e-01, 6.467378e-02, 1.316325e-10, 1.199276e-11, 2.270626e-09, 5.902242e-17, 1.175311e-17, 2.779909e-17, 1.947022e-17, 1.035279e-19, 2.877517e-17, 8.358960e-18, 2.379501e-17, 1.761755e-03, 4.404072e+08, 4.404072e+08, 2.940647e-06, 6.955380e-06, 2.590286e-08, 2.091426e-06, 3.293469e+01, 5.709124e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 1.000000e-13, 1.000000e-13, 2.145781e-03, 2.145781e-03, 0.000000e+00, 0.000000e+00, 4.996375e-12, 3.562248e-01, 6.467384e-02, 1.645477e-10, 1.498911e-11, 2.284997e-09, 5.899713e-17, 1.203040e-17, 2.750199e-17, 1.946474e-17, 1.015083e-19, 2.844428e-17, 8.051486e-18, 2.370188e-17, 2.188503e-03, 4.376374e+08, 4.376374e+08, 2.407825e-06, 5.504389e-06, 2.031638e-08, 1.611465e-06, 3.293341e+01, 7.136984e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 1.000000e-13, 1.000000e-13, 2.550130e-03, 2.550130e-03, 0.000000e+00, 0.000000e+00, 5.996334e-12, 3.562239e-01, 6.467390e-02, 1.974722e-10, 1.798539e-11, 2.299101e-09, 5.897292e-17, 1.228997e-17, 2.722364e-17, 1.945931e-17, 9.958489e-20, 2.813428e-17, 7.763762e-18, 2.361522e-17, 2.610368e-03, 4.349526e+08, 4.349526e+08, 2.049581e-06, 4.540047e-06, 1.660763e-08, 1.294751e-06, 3.293216e+01, 8.565358e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 1.000000e-13, 1.000000e-13, 2.947149e-03, 2.947149e-03, 0.000000e+00, 0.000000e+00, 6.996788e-12, 3.562230e-01, 6.467396e-02, 2.304106e-10, 2.098203e-11, 2.312950e-09, 5.894971e-17, 1.253341e-17, 2.696238e-17, 1.945391e-17, 9.775097e-20, 2.784330e-17, 7.494017e-18, 2.353445e-17, 3.027631e-03, 4.323484e+08, 4.323484e+08, 1.791310e-06, 3.853537e-06, 1.397083e-08, 1.071065e-06, 3.293092e+01, 9.994438e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 1.000000e-13, 1.000000e-13, 3.337200e-03, 3.337200e-03, 0.000000e+00, 0.000000e+00, 7.997889e-12, 3.562221e-01, 6.467403e-02, 2.633680e-10, 2.397953e-11, 2.326554e-09, 5.892743e-17, 1.276214e-17, 2.671672e-17, 1.944857e-17, 9.600034e-20, 2.756971e-17, 7.240671e-18, 2.345904e-17, 3.440560e-03, 4.298202e+08, 4.298202e+08, 1.595689e-06, 3.340472e-06, 1.200321e-08, 9.053228e-07, 3.292969e+01, 1.142444e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 1.000000e-13, 1.000000e-13, 3.720628e-03, 3.720628e-03, 0.000000e+00, 0.000000e+00, 8.999806e-12, 3.562213e-01, 6.467409e-02, 2.963500e-10, 2.697841e-11, 2.339924e-09, 5.890603e-17, 1.297742e-17, 2.648534e-17, 1.944327e-17, 9.432730e-20, 2.731201e-17, 7.002315e-18, 2.338852e-17, 3.849416e-03, 4.273642e+08, 4.273642e+08, 1.441967e-06, 2.942879e-06, 1.048104e-08, 7.780518e-07, 3.292848e+01, 1.285561e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 1.000000e-13, 1.000000e-13, 4.097763e-03, 4.097763e-03, 0.000000e+00, 0.000000e+00, 1.000272e-11, 3.562204e-01, 6.467415e-02, 3.293625e-10, 2.997926e-11, 2.353071e-09, 5.888545e-17, 1.318039e-17, 2.626704e-17, 1.943802e-17, 9.272665e-20, 2.706889e-17, 6.777688e-18, 2.332249e-17, 4.254450e-03, 4.249765e+08, 4.249765e+08, 1.317680e-06, 2.625989e-06, 9.270142e-09, 6.775843e-07, 3.292729e+01, 1.428821e-06, 1.370000e+00, 2.700000e+01,
