L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n, T
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.490076e-02, 1.490076e-02, 0.000000e+00, 0.000000e+00, 1.097345e-11, 3.938917e-01, 5.505990e-02, 3.568428e-10, 3.611917e-11, 6.135114e-10, 1.616097e-16, 3.213998e-17, 4.719528e-17, 8.227441e-17, 1.884047e-19, 5.041788e-17, 9.996276e-18, 4.784398e-17, 1.793623e-02, 1.629962e+09, 1.629962e+09, 2.928885e-06, 4.300861e-06, 1.716914e-08, 9.109510e-07, 3.251874e+01, 1.567483e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.591383e-02, 1.591383e-02, 0.000000e+00, 0.000000e+00, 1.197492e-11, 3.938917e-01, 5.505995e-02, 3.893903e-10, 3.939134e-11, 6.175016e-10, 1.614878e-16, 3.262607e-17, 4.666460e-17, 8.219710e-17, 1.816148e-19, 4.969206e-17, 9.341157e-18, 4.768774e-17, 1.944552e-02, 1.619429e+09, 1.619429e+09, 2.724533e-06, 3.896861e-06, 1.516627e-08, 7.800600e-07, 3.251715e+01, 1.710536e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.689283e-02, 1.689283e-02, 0.000000e+00, 0.000000e+00, 1.297832e-11, 3.938916e-01, 5.506000e-02, 4.219976e-10, 4.266666e-11, 6.211102e-10, 1.613734e-16, 3.305710e-17, 4.619398e-17, 8.212230e-17, 1.754632e-19, 4.904838e-17, 8.761546e-18, 4.755550e-17, 2.095129e-02, 1.610020e+09, 1.610020e+09, 2.547102e-06, 3.559320e-06, 1.351972e-08, 6.750911e-07, 3.251559e+01, 1.853865e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.782044e-02, 1.782044e-02, 0.000000e+00, 0.000000e+00, 1.396216e-11, 3.938916e-01, 5.506005e-02, 4.539670e-10, 4.587521e-11, 6.242967e-10, 1.612679e-16, 3.343403e-17, 4.578252e-17, 8.205135e-17, 1.699773e-19, 4.848562e-17, 8.255918e-18, 4.744560e-17, 2.242334e-02, 1.601802e+09, 1.601802e+09, 2.394618e-06, 3.279043e-06, 1.217414e-08, 5.913067e-07, 3.251409e+01, 1.994400e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.873120e-02, 1.873120e-02, 0.000000e+00, 0.000000e+00, 1.496023e-11, 3.938915e-01, 5.506010e-02, 4.863960e-10, 4.912729e-11, 6.271980e-10, 1.611669e-16, 3.377724e-17, 4.540806e-17, 8.198165e-17, 1.648914e-19, 4.797346e-17, 7.796740e-18, 4.735096e-17, 2.391393e-02, 1.594393e+09, 1.594393e+09, 2.257802e-06, 3.035252e-06, 1.102199e-08, 5.211645e-07, 3.251261e+01, 2.136967e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.961370e-02, 1.961370e-02, 0.000000e+00, 0.000000e+00, 1.595837e-11, 3.938915e-01, 5.506015e-02, 5.188248e-10, 5.237684e-11, 6.297880e-10, 1.610714e-16, 3.408674e-17, 4.507063e-17, 8.191408e-17, 1.602276e-19, 4.751195e-17, 7.383813e-18, 4.727072e-17, 2.540336e-02, 1.587836e+09, 1.587836e+09, 2.135980e-06, 2.824264e-06, 1.004035e-08, 4.626923e-07, 3.251115e+01, 2.279544e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.046986e-02, 2.046986e-02, 0.000000e+00, 0.000000e+00, 1.695657e-11, 3.938915e-01, 5.506020e-02, 5.512534e-10, 5.562396e-11, 6.320874e-10, 1.609809e-16, 3.436728e-17, 4.476511e-17, 8.184850e-17, 1.559347e-19, 4.709409e-17, 7.010670e-18, 4.720281e-17, 2.689297e-02, 1.582060e+09, 1.582060e+09, 2.026782e-06, 2.639986e-06, 9.196120e-09, 4.134485e-07, 3.250972e+01, 2.422132e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.130141e-02, 2.130141e-02, 0.000000e+00, 0.000000e+00, 1.795486e-11, 3.938914e-01, 5.506025e-02, 5.836821e-10, 5.886876e-11, 6.341149e-10, 1.608948e-16, 3.462275e-17, 4.448727e-17, 8.178480e-17, 1.519696e-19, 4.671409e-17, 6.671976e-18, 4.714550e-17, 2.838400e-02, 1.577001e+09, 1.577001e+09, 1.928322e-06, 2.477729e-06, 8.463980e-09, 3.715972e-07, 3.250831e+01, 2.564730e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.210992e-02, 2.210992e-02, 0.000000e+00, 0.000000e+00, 1.895324e-11, 3.938914e-01, 5.506030e-02, 6.161114e-10, 6.211137e-11, 6.358880e-10, 1.608128e-16, 3.485638e-17, 4.423359e-17, 8.172287e-17, 1.482956e-19, 4.636712e-17, 6.363288e-18, 4.709737e-17, 2.987754e-02, 1.572604e+09, 1.572604e+09, 1.839073e-06, 2.333827e-06, 7.824291e-09, 3.357362e-07, 3.250692e+01, 2.707342e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.289680e-02, 2.289680e-02, 0.000000e+00, 0.000000e+00, 1.995173e-11, 3.938913e-01, 5.506035e-02, 6.485421e-10, 6.535194e-11, 6.374227e-10, 1.607346e-16, 3.507091e-17, 4.400110e-17, 8.166259e-17, 1.448815e-19, 4.604915e-17, 6.080882e-18, 4.705723e-17, 3.137461e-02, 1.568818e+09, 1.568818e+09, 1.757788e-06, 2.205378e-06, 7.261601e-09, 3.047797e-07, 3.250556e+01, 2.849969e-06, 1.370000e+00, 2.700000e+01,
